observaciones,pozos
12,AGUA FRIA-685--
13,AGUA FRIA-686--
13,AGUA FRIA-687--
14,AGUA FRIA-688--
14,AGUA FRIA-689--
14,AGUA FRIA-694--
14,AGUA FRIA-696--
11,AGUA FRIA-698--
12,AGUA FRIA-699--
14,AGUA FRIA-701--
14,AGUA FRIA-703--
14,AGUA FRIA-705--
7,AGUA FRIA-706--
14,AGUA FRIA-707--
3,AGUA FRIA-708--
14,AGUA FRIA-709--
14,AGUA FRIA-711--
12,AGUA FRIA-712--
14,AGUA FRIA-714--
10,AGUA FRIA-715--
14,AGUA FRIA-716--
14,AGUA FRIA-717--
3,AGUA FRIA-718--
14,AGUA FRIA-719--
14,AGUA FRIA-72--
14,AGUA FRIA-721--
14,AGUA FRIA-722--
14,AGUA FRIA-723--
14,AGUA FRIA-725--
14,AGUA FRIA-727--
12,AGUA FRIA-728--
13,AGUA FRIA-729--
14,AGUA FRIA-734--
14,AGUA FRIA-735--
14,AGUA FRIA-737--
1,AGUA FRIA-738--
13,AGUA FRIA-739--
14,AGUA FRIA-741--
13,AGUA FRIA-742--
14,AGUA FRIA-743--
14,AGUA FRIA-745--
13,AGUA FRIA-746--
14,AGUA FRIA-747--
13,AGUA FRIA-748--
13,AGUA FRIA-749--
13,AGUA FRIA-751--
14,AGUA FRIA-752--
12,AGUA FRIA-753--
14,AGUA FRIA-754--
14,AGUA FRIA-755--
1,AGUA FRIA-756--
14,AGUA FRIA-757--
8,AGUA FRIA-758--
14,AGUA FRIA-759--
14,AGUA FRIA-76--
3,AGUA FRIA-763--
13,AGUA FRIA-764--
14,AGUA FRIA-765--
14,AGUA FRIA-766--
13,AGUA FRIA-767--
12,AGUA FRIA-768--
12,AGUA FRIA-769--
1,AGUA FRIA-771--
12,AGUA FRIA-772--
14,AGUA FRIA-773--
13,AGUA FRIA-774--
14,AGUA FRIA-775--
14,AGUA FRIA-777--
14,AGUA FRIA-778--
14,AGUA FRIA-779--
14,AGUA FRIA-781--
10,AGUA FRIA-783--
13,AGUA FRIA-786--
14,AGUA FRIA-787--
13,AGUA FRIA-788--
1,AGUA FRIA-789--
12,AGUA FRIA-792--
13,AGUA FRIA-794--
13,AGUA FRIA-797--
3,AGUA FRIA-798--
14,AGUA FRIA-799--
3,AGUA FRIA-801--
14,AGUA FRIA-802--
14,AGUA FRIA-807--
14,AGUA FRIA-809--
14,AGUA FRIA-812--
13,AGUA FRIA-814--
7,AGUA FRIA-817--
14,AGUA FRIA-819--
13,AGUA FRIA-82--
8,AGUA FRIA-820--
14,AGUA FRIA-8201--
9,AGUA FRIA-821--
9,AGUA FRIA-823--
8,AGUA FRIA-824--
13,AGUA FRIA-825--
8,AGUA FRIA-826--
1,AGUA FRIA-827--
13,AGUA FRIA-828--
14,AGUA FRIA-829--
14,AGUA FRIA-831--
14,AGUA FRIA-834--
14,AGUA FRIA-835--
1,AGUA FRIA-836--
13,AGUA FRIA-837--
14,AGUA FRIA-838--
14,AGUA FRIA-839--
